Date,XB2,Retail
2011-12-30,265.74,327.8
2011-12-31,265.74,327.9
2012-01-01,265.74,327.9
2012-01-02,265.74,328.8
2012-01-03,275.34,331.9
2012-01-04,279.49,335.2
2012-01-05,274.8,336.6
2012-01-06,276.42,337.1
2012-01-07,276.42,337.4
2012-01-08,276.42,337.2
2012-01-09,276.89,337.2
2012-01-10,277.92,338.2
2012-01-11,277.03,339.1
2012-01-12,273.7,339.1
2012-01-13,273.97,338.8
2012-01-14,273.97,338.7
2012-01-15,273.97,338.1
2012-01-16,273.97,337.8
2012-01-17,277.96,337.8
2012-01-18,282.92,338.2
2012-01-19,282.28,338.6
2012-01-20,279.03,338.5
2012-01-21,279.03,338.3
2012-01-22,279.03,338.1
2012-01-23,278.56,337.9
2012-01-24,281.05,337.9
2012-01-25,283.74,338.9
2012-01-26,285.08,340.6
2012-01-27,292.34,341.9
2012-01-28,292.34,342.9
2012-01-29,292.34,344.3
2012-01-30,287.27,345
2012-01-31,289.09,345.5
2012-02-01,301.21,346.7
2012-02-02,299.83,347.5
2012-02-03,304.66,347.8
2012-02-04,304.66,348
2012-02-05,304.66,348
2012-02-06,306.74,348.3
2012-02-07,306.74,348.8
2012-02-08,310.99,349.7
2012-02-09,315.22,350.6
2012-02-10,312.24,350.9
2012-02-11,312.24,351.1
2012-02-12,312.24,351.3
2012-02-13,316,351.8
2012-02-14,314.04,352.3
2012-02-15,316.92,352.9
2012-02-16,320.66,353.8
2012-02-17,318.76,355.6
2012-02-18,318.76,356.5
2012-02-19,318.76,357
2012-02-20,318.76,357.9
2012-02-21,324.85,361.2
2012-02-22,326.3,364.7
2012-02-23,328.8,367.4
2012-02-24,332.47,368.8
2012-02-25,332.47,369.8
2012-02-26,332.47,371.6
2012-02-27,330.27,373.1
2012-02-28,322.47,373.8
2012-02-29,325.72,374.1
2012-03-01,334.25,375.7
2012-03-02,326.79,376.4
2012-03-03,326.79,376.7
2012-03-04,326.79,376.4
2012-03-05,325.71,376.1
2012-03-06,322.93,375.8
2012-03-07,328.38,375.8
2012-03-08,331.38,377.8
2012-03-09,332.92,379.2
2012-03-10,332.92,380.1
2012-03-11,332.92,380.5
2012-03-12,332.18,381.1
2012-03-13,335.33,382.1
2012-03-14,334.29,383.1
2012-03-15,328.42,383.5
2012-03-16,335.35,383.8
2012-03-17,335.35,384.2
2012-03-18,335.35,384.6
2012-03-19,336.18,386.4
2012-03-20,335.13,388.1
2012-03-21,334.52,388.9
2012-03-22,332.57,389.2
2012-03-23,336.89,389.4
2012-03-24,336.89,389.7
2012-03-25,336.89,389.8
2012-03-26,339.87,391.1
2012-03-27,338.64,392.1
2012-03-28,336.21,392.5
2012-03-29,333.97,392.5
2012-03-30,330.81,392.5
2012-03-31,330.81,392.5
2012-04-01,330.81,392.3
2012-04-02,331.37,392.8
2012-04-03,331.46,393.6
2012-04-04,326.28,393.6
2012-04-05,327.66,393.2
2012-04-06,327.66,392.9
2012-04-07,327.66,392.7
2012-04-08,327.66,392.2
2012-04-09,323.46,391.5
2012-04-10,318.24,390.7
2012-04-11,321.57,390.1
2012-04-12,326.98,390.4
2012-04-13,326.67,390.7
2012-04-14,326.67,390.7
2012-04-15,326.67,390.4
2012-04-16,319.41,389.9
2012-04-17,317.52,389.1
2012-04-18,314.89,388.1
2012-04-19,311.58,387.1
2012-04-20,311,386.3
2012-04-21,311,385.8
2012-04-22,311,384.9
2012-04-23,314.76,384
2012-04-24,312.41,383
2012-04-25,311.91,382.6
2012-04-26,313.28,382.3
2012-04-27,314.45,381.9
2012-04-28,314.45,381.6
2012-04-29,314.45,380.9
2012-04-30,312.46,380.3
2012-05-01,306.43,380.3
2012-05-02,304.16,380.2
2012-05-03,300.78,379.2
2012-05-04,293.3,378.3
2012-05-05,293.3,377.7
2012-05-06,293.3,376.3
2012-05-07,292.87,375
2012-05-08,293.94,373.9
2012-05-09,295.7,373.4
2012-05-10,294.22,373
2012-05-11,293.31,372.8
2012-05-12,293.31,372.7
2012-05-13,293.31,372.7
2012-05-14,290.16,372.8
2012-05-15,289.16,372.2
2012-05-16,286.51,371.3
2012-05-17,281.74,370.1
2012-05-18,282.02,369
2012-05-19,282.02,368.9
2012-05-20,282.02,368
2012-05-21,286.46,367.8
2012-05-22,285.92,367.6
2012-05-23,280.15,366.6
2012-05-24,281.93,365.3
2012-05-25,283.17,364.5
2012-05-26,283.17,364.1
2012-05-27,283.17,363.6
2012-05-28,283.17,362.6
2012-05-29,283.35,362
2012-05-30,277.39,361.1
2012-05-31,272.27,359.8
2012-06-01,259.44,359
2012-06-02,259.44,358.5
2012-06-03,259.44,357
2012-06-04,260.48,356.5
2012-06-05,261.41,356
2012-06-06,263.16,355.5
2012-06-07,262.22,354.7
2012-06-08,262.15,354.2
2012-06-09,262.15,354
2012-06-10,262.15,354.2
2012-06-11,258.77,353.9
2012-06-12,258.33,353.2
2012-06-13,258.41,352.4
2012-06-14,260.36,351.5
2012-06-15,262.57,350.9
2012-06-16,262.57,350.5
2012-06-17,262.57,349.7
2012-06-18,258.65,348.7
2012-06-19,256.99,347.2
2012-06-20,250.73,345.4
2012-06-21,245.2,343.4
2012-06-22,246.76,342
2012-06-23,246.76,341.1
2012-06-24,246.76,339.7
2012-06-25,249.82,338.3
2012-06-26,252.29,336.9
2012-06-27,249.89,335.3
2012-06-28,247.73,333.7
2012-06-29,263.18,333
2012-06-30,263.18,332.6
2012-07-01,263.18,332.9
2012-07-02,254.13,333.6
2012-07-03,263.03,333.8
2012-07-04,263.03,335.8
2012-07-05,265.52,337.6
2012-07-06,260.26,338.1
2012-07-07,260.26,338.2
2012-07-08,260.26,338.1
2012-07-09,264.36,338.3
2012-07-10,261.46,338.4
2012-07-11,264.22,338.8
2012-07-12,266.89,339.3
