Date,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,12Y,15Y,20Y,25Y,30Y
2011-12-30,0.726,0.8204,1.0065,1.2245,1.4491,1.6431,1.8028,1.9324,2.027,2.2271,2.4016,2.521,2.5779,2.6155
2012-01-02,0.726,0.8203,1.0065,1.2079,1.4492,1.6432,1.8027,1.9325,2.039,2.2271,2.4015,2.521,2.578,2.6004
2012-01-03,0.7405,0.8465,1.049,1.279,1.5055,1.7025,1.861,1.993,2.1065,2.2945,2.4745,2.599,2.657,2.6975
2012-01-04,0.7275,0.8308,1.0285,1.2585,1.4925,1.6985,1.865,2.001,2.1165,2.312,2.498,2.6275,2.6825,2.725
2012-01-05,0.718,0.8198,1.0222,1.2535,1.5015,1.7005,1.8705,2.0115,2.131,2.3275,2.517,2.6515,2.7175,2.759
2012-01-06,0.6775,0.7815,0.9795,1.212,1.4505,1.662,1.835,1.979,2.0965,2.2925,2.4669,2.6103,2.677,2.7072
2012-01-09,0.649,0.7525,0.9555,1.1975,1.441,1.654,1.828,1.973,2.091,2.285,2.4875,2.6275,2.6945,2.7365
2012-01-10,0.639,0.748,0.9565,1.2015,1.446,1.6605,1.8345,1.981,2.106,2.303,2.4864,2.6271,2.693,2.7239
2012-01-11,0.6085,0.7165,0.9205,1.1618,1.3955,1.6135,1.786,1.9275,2.049,2.2485,2.4269,2.5783,2.6465,2.689
2012-01-12,0.5815,0.6935,0.905,1.1565,1.404,1.617,1.7915,1.937,2.062,2.2615,2.4448,2.5898,2.7098,2.6982
2012-01-13,0.5675,0.6715,0.87,1.115,1.3555,1.5685,1.743,1.8875,2.011,2.2085,2.3972,2.5359,2.602,2.6425
2012-01-16,0.5455,0.6706,0.873,1.1105,1.3542,1.5657,1.7427,1.8899,2.001,2.2095,2.3987,2.538,2.6022,2.6236
2012-01-17,0.573,0.673,0.868,1.108,1.3475,1.56,1.7315,1.884,1.9975,2.19,2.3825,2.521,2.5865,2.627
2012-01-18,0.584,0.6815,0.8815,1.115,1.3685,1.582,1.76,1.9075,2.033,2.233,2.425,2.567,2.633,2.686
2012-01-19,0.587,0.7045,0.9315,1.1755,1.4256,1.6485,1.83,1.9795,2.105,2.309,2.5024,2.6395,2.713,2.7464
2012-01-20,0.597,0.717,0.9475,1.1973,1.4635,1.687,1.8715,2.024,2.1535,2.3605,2.5504,2.705,2.779,2.8184
2012-01-23,0.5825,0.7105,0.949,1.221,1.4815,1.7075,1.8925,2.0425,2.1735,2.3805,2.5795,2.7275,2.798,2.8404
2012-01-24,0.586,0.7085,0.9445,1.215,1.4785,1.707,1.893,2.0535,2.177,2.3815,2.582,2.7302,2.7958,2.8442
2012-01-25,0.555,0.6443,0.8466,1.1055,1.3715,1.6085,1.799,1.9645,2.1045,2.326,2.541,2.7035,2.7928,2.839
2012-01-26,0.5315,0.6165,0.81,1.0565,1.3061,1.549,1.7335,1.901,2.0405,2.2625,2.4785,2.646,2.7305,2.7815
2012-01-27,0.537,0.62,0.7965,1.035,1.297,1.5255,1.714,1.8627,2.008,2.232,2.4495,2.6205,2.7065,2.757
2012-01-30,0.5405,0.628,0.7974,1.0334,1.2631,1.4945,1.6765,1.8301,1.9695,2.1874,2.3955,2.5641,2.6529,2.6952
2012-01-31,0.5125,0.5905,0.7645,0.988,1.228,1.449,1.6305,1.7826,1.915,2.126,2.3403,2.5075,2.5885,2.6395
2012-02-01,0.503,0.5825,0.7441,0.9793,1.215,1.449,1.636,1.7912,1.9275,2.151,2.372,2.5435,2.6315,2.685
2012-02-02,0.488,0.5685,0.7321,0.966,1.213,1.4251,1.622,1.7793,1.9245,2.1558,2.374,2.5485,2.6326,2.6915
2012-02-03,0.503,0.6083,0.789,1.0375,1.271,1.5128,1.7245,1.8812,2.021,2.261,2.4869,2.6655,2.7505,2.811
2012-02-06,0.522,0.6195,0.808,1.044,1.294,1.524,1.717,1.877,2.016,2.2435,2.466,2.6467,2.735,2.7845
2012-02-07,0.543,0.6549,0.861,1.105,1.3629,1.5952,1.7865,1.9485,2.0865,2.3111,2.5276,2.7024,2.7881,2.84
2012-02-08,0.537,0.65,0.8615,1.1245,1.375,1.6055,1.801,1.9625,2.1015,2.327,2.5435,2.715,2.8,2.8515
2012-02-09,0.535,0.6568,0.876,1.13,1.3898,1.6225,1.8165,1.979,2.1175,2.3435,2.5645,2.729,2.8225,2.875
2012-02-10,0.55,0.6615,0.866,1.106,1.3574,1.584,1.7745,1.9265,2.07,2.2855,2.5116,2.6823,2.7642,2.8099
2012-02-13,0.5765,0.6885,0.887,1.1235,1.367,1.589,1.7592,1.924,2.0565,2.2795,2.4612,2.6615,2.7413,2.798
2012-02-14,0.5685,0.675,0.867,1.0933,1.3344,1.553,1.7239,1.877,2.0175,2.236,2.451,2.621,2.6928,2.754
2012-02-15,0.5525,0.6555,0.837,1.0653,1.314,1.532,1.7074,1.8705,2.009,2.229,2.4344,2.6128,2.6868,2.7379
2012-02-16,0.5875,0.704,0.901,1.1298,1.3686,1.5905,1.7735,1.9275,2.0605,2.2755,2.4964,2.669,2.7457,2.7999
2012-02-17,0.5785,0.7074,0.9081,1.1427,1.3863,1.6089,1.7927,1.9492,2.0825,2.301,2.5095,2.6861,2.764,2.8155
2012-02-20,0.5995,0.7049,0.912,1.1345,1.3993,1.61,1.798,1.9335,2.0725,2.303,2.5231,2.6763,2.765,2.818
2012-02-21,0.595,0.73,0.9496,1.1925,1.4425,1.669,1.8526,2.0099,2.147,2.368,2.5743,2.7459,2.8348,2.8759
2012-02-22,0.589,0.7085,0.915,1.1465,1.393,1.616,1.802,1.9581,2.091,2.3118,2.5261,2.6953,2.778,2.8192
2012-02-23,0.6,0.7208,0.926,1.1623,1.4049,1.615,1.8057,1.9603,2.092,2.3099,2.5249,2.6975,2.7815,2.8202
2012-02-24,0.6185,0.7418,0.945,1.1705,1.3977,1.622,1.802,1.9441,2.0815,2.2935,2.5045,2.6742,2.7509,2.799
2012-02-27,0.587,0.7025,0.8921,1.1185,1.3423,1.569,1.7485,1.8915,2.0285,2.2464,2.456,2.6201,2.6981,2.758
2012-02-28,0.5695,0.6795,0.8743,1.1025,1.3339,1.5635,1.7382,1.903,2.038,2.2555,2.4675,2.6355,2.7175,2.765
2012-02-29,0.555,0.6676,0.8765,1.1108,1.3541,1.582,1.769,1.926,2.062,2.281,2.49,2.6525,2.7315,2.7875
2012-03-01,0.5525,0.681,0.9031,1.1365,1.3857,1.626,1.8175,1.9754,2.114,2.3345,2.536,2.7037,2.798,2.847
2012-03-02,0.5235,0.6485,0.8529,1.095,1.3425,1.5715,1.7565,1.919,2.0595,2.271,2.4983,2.6705,2.7507,2.8044
2012-03-05,0.5525,0.687,0.889,1.125,1.372,1.5995,1.792,1.9515,2.089,2.3135,2.5293,2.7002,2.7875,2.8274
2012-03-06,0.551,0.6702,0.8615,1.0885,1.329,1.5534,1.738,1.893,2.029,2.247,2.462,2.6295,2.7125,2.7625
2012-03-07,0.557,0.6771,0.8795,1.1125,1.3614,1.579,1.767,1.9245,2.0605,2.284,2.5035,2.6775,2.764,2.8155
2012-03-08,0.5585,0.6932,0.903,1.136,1.3837,1.6107,1.7965,1.9552,2.094,2.3181,2.541,2.7243,2.8083,2.86
2012-03-09,0.577,0.7075,0.9201,1.1379,1.3963,1.6205,1.809,1.9685,2.1055,2.33,2.5375,2.7127,2.8112,2.8527
2012-03-12,0.58,0.7115,0.9195,1.154,1.3965,1.6195,1.8075,1.964,2.101,2.3235,2.5425,2.708,2.8005,2.8525
2012-03-13,0.605,0.7565,0.9825,1.2315,1.4827,1.7075,1.899,2.056,2.195,2.4175,2.638,2.8095,2.896,2.947
2012-03-14,0.64,0.8155,1.061,1.3235,1.5861,1.8231,2.0185,2.1832,2.3225,2.5455,2.7635,2.9345,3.0205,3.0705
2012-03-15,0.626,0.803,1.0587,1.3173,1.5925,1.83,2.0419,2.203,2.3405,2.5705,2.7902,2.9555,3.052,3.0923
2012-03-16,0.615,0.812,1.071,1.347,1.6145,1.852,2.0505,2.2135,2.3545,2.578,2.7954,2.9635,3.05,3.0965
2012-03-19,0.644,0.85,1.1385,1.435,1.7095,1.948,2.149,2.3145,2.451,2.672,2.8844,3.0481,3.1345,3.1798
2012-03-20,0.661,0.8689,1.1538,1.4508,1.7215,1.9566,2.148,2.3068,2.443,2.6601,2.8714,3.0202,3.1015,3.1435
2012-03-21,0.6295,0.826,1.098,1.382,1.6508,1.883,2.074,2.233,2.378,2.588,2.8005,2.963,3.043,3.087
2012-03-22,0.6245,0.82,1.0931,1.3765,1.6281,1.8627,2.0524,2.2101,2.353,2.5721,2.7769,2.937,3.0102,3.058
2012-03-23,0.6105,0.798,1.0697,1.3353,1.5953,1.8241,2.0165,2.1745,2.308,2.524,2.7315,2.892,2.9639,3.0115
2012-03-26,0.593,0.7828,1.0423,1.3215,1.5895,1.8264,2.0196,2.1796,2.318,2.5336,2.7507,2.9172,2.9995,3.0327
2012-03-27,0.563,0.7305,0.9808,1.2466,1.5116,1.7447,1.9432,2.102,2.2515,2.4726,2.6832,2.8555,2.9435,2.9855
2012-03-28,0.577,0.752,1.004,1.271,1.534,1.7675,1.9635,2.1255,2.2655,2.489,2.7049,2.8765,2.9595,3.006
2012-03-29,0.5885,0.743,0.9805,1.2395,1.4995,1.735,1.9285,2.0905,2.2295,2.4525,2.6725,2.841,2.9245,2.982
2012-03-30,0.5815,0.758,1.0015,1.272,1.5295,1.779,1.9785,2.1455,2.287,2.515,2.734,2.906,2.99,3.039
2012-04-02,0.5795,0.7495,0.9826,1.255,1.5205,1.76,1.9605,2.1275,2.2705,2.4935,2.72,2.8955,2.9855,3.0275
2012-04-03,0.6215,0.823,1.0775,1.3615,1.6355,1.8765,2.0775,2.2473,2.39,2.619,2.8415,3.0155,3.0936,3.1424
2012-04-04,0.626,0.7945,1.0445,1.3053,1.5785,1.8205,2.0181,2.1821,2.325,2.5517,2.7672,2.9398,3.0749,3.0588
2012-04-05,0.631,0.7959,1.0329,1.29,1.55,1.7865,1.983,2.149,2.2895,2.5155,2.7475,2.9115,2.9935,3.0408
2012-04-06,0.608,0.7331,0.9402,1.1744,1.4295,1.6616,1.8537,2.012,2.1395,2.3779,2.6011,2.7768,2.865,2.9065
2012-04-09,0.604,0.7375,0.9465,1.1855,1.4315,1.6524,1.847,2.0095,2.142,2.368,2.588,2.76,2.8435,2.8915
2012-04-10,0.602,0.7215,0.9265,1.1485,1.3895,1.611,1.8015,1.959,2.0965,2.3195,2.538,2.7065,2.788,2.8355
2012-04-11,0.588,0.7082,0.9236,1.1675,1.417,1.645,1.838,2,2.1355,2.3695,2.5908,2.7655,2.839,2.8877
2012-04-12,0.571,0.7018,0.9237,1.1705,1.424,1.6545,1.849,2.011,2.1655,2.383,2.6075,2.7805,2.8625,2.9105
2012-04-13,0.5675,0.6925,0.8925,1.1465,1.3895,1.612,1.801,1.96,2.099,2.3207,2.5395,2.7083,2.7896,2.8337
2012-04-16,0.5695,0.6976,0.9,1.13,1.3815,1.603,1.7946,1.9525,2.1,2.3211,2.5328,2.702,2.7875,2.8322
2012-04-17,0.56,0.688,0.9055,1.143,1.3887,1.6145,1.8055,1.9645,2.1055,2.331,2.55,2.721,2.802,2.84
2012-04-18,0.558,0.6862,0.893,1.1305,1.3755,1.599,1.7885,1.9475,2.087,2.3125,2.5265,2.705,2.7905,2.839
2012-04-19,0.565,0.6905,0.8996,1.1365,1.379,1.6015,1.7865,1.9462,2.085,2.3143,2.5245,2.701,2.784,2.8315
2012-04-20,0.5675,0.6925,0.9015,1.138,1.3789,1.599,1.785,1.9397,2.08,2.303,2.5243,2.6973,2.784,2.8272
2012-04-23,0.573,0.6936,0.8904,1.1255,1.363,1.581,1.7675,1.924,2.06,2.2774,2.503,2.673,2.7535,2.8005
2012-04-24,0.578,0.6999,0.9116,1.1515,1.3961,1.6169,1.8045,1.9635,2.1015,2.3265,2.5467,2.7186,2.8003,2.8465
2012-04-25,0.5575,0.684,0.9031,1.1425,1.3905,1.6162,1.8072,1.9699,2.106,2.3345,2.5624,2.726,2.8097,2.8635
2012-04-26,0.5595,0.6815,0.886,1.1148,1.3595,1.5825,1.771,1.9283,2.069,2.2985,2.5225,2.702,2.779,2.8375
2012-04-27,0.5545,0.6785,0.8855,1.1165,1.3585,1.5805,1.7675,1.9204,2.0655,2.2955,2.523,2.7,2.799,2.8365
2012-04-30,0.547,0.6635,0.8667,1.088,1.33,1.553,1.737,1.8986,2.0485,2.266,2.4983,2.6825,2.778,2.8215
2012-05-01,0.545,0.668,0.8755,1.1138,1.358,1.58,1.7708,1.9278,2.0715,2.3035,2.5355,2.72,2.8195,2.861
2012-05-02,0.5485,0.6687,0.87,1.105,1.341,1.5695,1.7565,1.9145,2.0635,2.286,2.5115,2.6925,2.7852,2.8385
2012-05-03,0.5415,0.667,0.874,1.108,1.3518,1.572,1.7595,1.919,2.058,2.2885,2.5155,2.6912,2.7835,2.833
2012-05-04,0.547,0.6585,0.854,1.081,1.3047,1.5265,1.72,1.8688,2.017,2.2465,2.474,2.6555,2.7425,2.7935
2012-05-07,0.5605,0.6595,0.85,1.074,1.3172,1.5251,1.7145,1.8689,2.01,2.2375,2.465,2.6425,2.731,2.7725
2012-05-08,0.565,0.668,0.8548,1.0678,1.2941,1.5038,1.7015,1.8555,1.9935,2.2185,2.4403,2.6161,2.7036,2.7554
